id,title,price,description,location_id,old_state_id,old_municipality_id,street,geo_long,geo_lat,rooms,bathrooms,parking,area,antiquity_year,stories,construction_area,belongs_to,published,archived,deleted_at,created_at,updated_at,show_zip_code,show_address,show_latitude_longitude,show_email,show_phone,show_mobile,show_whatsapp,short_description,custom_floor,pet_friendly,green_tech,zone_type,corner,api_registered,priority,active,postal,zone,space,half_bathrooms,ref,type,street_type,temporal_use,floor,remodeling,use,currency,price_unit,external_ref,area_unit,space_unit,construction_date_milestones,ap_order_priority,crm_perk_granted,crm_imported_property,video_url,maintenance_price,tour_url,state_id,municipality_id,postal_code_id,locality_id,has_exclusivity
389390,Departamento en Renta en San Jeronimo,18800.00,"Nocnok ID: MX21-LG3569. REDNORTE OFRECE: 

Departamento renta en Etherea zona San Jeronimo 
2 recamaras 
2 baños 
2 cajones de estacionamiento piso 11 
Excelente vista 
Equipado con cocina centro de lavado minisplits y boiler 
Amenidades 
Roof con gym asadores etc 
Alberca salón de eventos etc 
18,800 

CLAVE INTERNA: RAR842 
TELEFONO: 8117783953

ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema nocnok.com.",,19,39,64640 64640,-100.3643650,25.6745148,2,2,0,0,0,0,90,544,1,0,,2021-10-22 18:50:42,2022-06-21 08:24:55,1,0,1,0,1,1,1,"Departamento en renta en San Jeronimo. 2 habitaciones, 2 baños, 90m2 construcción.","",0,0,[],0,0,1,1,64640,San Jeronimo,0,0,1634760291544263,Departamento,General,NA,Habitacional,Parcial,Renta,mxn,propiedad,MX21-LG3569,m2,m2,,1,2022-04-13 14:10:16,2021-10-20 20:04:51,,0.00,,19,948,85975,85975,0
389400,Departamento en Renta en San Jeronimo,20500.00,"Nocnok ID: MX21-LI3052. Rednorte ofrece: 

Departamento con excelente ubicación, con salida rapida a las avenidas principales. Fletereos, Gonzalitos y Av. San Jeronimo 
Cuenta con dos recamaras, la principal con baño-vestidor, la secundaria con closet, comparte baño. Cuarto de oficina que puede ser otra recamara, Sala, Comedor, Cocina equipada. Dos cajones de estacionamiento. Terraza grande para eventos. Vigilancia 24 horas. 

CLAVE INTERNA: IMR428 
TELEFONO OFICINA: 8117783953

ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema nocnok.com.",,19,39,fedfe fefe,-100.3659290,25.6779442,2,2,0,0,0,0,140,544,1,0,,2021-10-22 18:50:43,2022-06-21 08:24:55,1,0,1,0,1,1,1,"Departamento en renta en San Jeronimo. 2 habitaciones, 2 baños, 140m2 construcción.","",0,0,[],0,0,1,1,64640,San Jeronimo,0,0,1634760323544728,Departamento,General,NA,Habitacional,Parcial,Renta,mxn,propiedad,MX21-LI3052,m2,m2,,1,2022-04-13 14:10:17,2021-10-20 20:05:23,,0.00,,19,948,85975,85975,0
389428,Casa en Venta en Colinas de San Jeronimo,6000000.00,"Nocnok ID: MX21-LN5155. REDNORTE OFRECE: 

Casa en venta de $4,750,000.00 ubicada en San Jerónimo a unos pasos de anillo periférico y a menos de 10 minutos de San Pedro, cuenta con 3 habitaciones en la planta alta la principal con baño y vestidor, sala, comedor, cocina integral y jardín amplio en la parte trasera. 
Mini Splits, Boiler y Cocina Equipada 

CLAVE INTERNA:DMV568 
TELEFONO:8117783953

ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema nocnok.com.",,19,39,64630 64630,-100.3761060,25.6863575,3,3,0,144,0,0,223,544,1,0,,2021-10-22 18:50:46,2022-06-21 08:24:55,1,0,1,0,1,1,1,"Casa en venta en Colinas de San Jeronimo. 3 habitaciones, 3 baños, 144m2 terreno, 223m2 construcción.","",0,0,[],0,0,1,1,64630,Colinas de San Jeronimo,0,1,1634760418544640,Casa,General,NA,Habitacional,Parcial,Venta,mxn,propiedad,MX21-LN5155,m2,m2,,1,2022-04-13 14:10:18,2021-10-20 20:06:58,,0.00,,19,948,85944,85944,0
392474,Casa en Renta en Colinas de San Jeronimo,40000.00,"Nocnok ID: MX21-LQ0702. ""Ofrezco Casa En Renta En Colinas De San Jerónimo""
220 m2 de terreno
480 m2 de Construcción
Cuenta con:
4 Recámaras
5 Baños
Cuarto de Servicio
Cochera Techada para 4 autos
Precio: 40,000

ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema nocnok.com.",,19,39,privada 1,-100.3761060,25.6863575,4,5,0,220,0,0,480,1606,1,0,,2021-10-22 18:53:53,2022-04-28 02:48:15,1,1,1,0,1,1,1,"Casa en renta en Colinas de San Jeronimo. 4 habitaciones, 5 baños, 220m2 terreno, 480m2 construcción.","",0,0,[],0,0,1,1,64630,Colinas de San Jeronimo,0,0,16347830661606161,Casa,General,NA,Habitacional,Parcial,Renta,mxn,propiedad,MX21-LQ0702,m2,m2,,1,2021-11-08 14:00:19,2021-10-21 02:24:26,,0.00,,19,948,85944,85944,0
402898,Departamento en Renta en San Jeronimo 1er Sect,26000.00,"Nocnok ID: MX21-LQ4183. REDNORTE OFRECE: 

-Exclusivo departamento en piso 20 
-Cocina integral con horno 
-Sala 
-Comedor 
-Recamara principal con baño y closet 
-Dos recámaras secundarias que comparten 
baño 
-Medio baño 
-Lavandería sin equipo 
-Balcón con increíble vista panorámica 
-2 estacionamientos 
-Bodega 

- Amenidades: gimnasio, alberca, chapoteadero, ludoteca, juegos infantiles, área de asadores.cancha polivalente, 2 salas de visitas ( sala, comedor, cocina) sala de juegos, salón de eventos, business center, edificio pet friendly, estacionamiento de visitas, seguridad con guardias 24/7. 
-A 5 minutos de San Pedro, bospitales y vías rápidas. 

CLAVE INTERNA: XCR870 

TELEFONO: 8117783953

ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema nocnok.com.",,19,39,XCR870 XCR870,-100.3659290,25.6779442,3,3,0,0,0,0,140,544,1,0,,2021-10-27 14:50:18,2022-06-21 08:25:09,1,0,1,0,1,1,1,"Departamento en renta en San Jeronimo 1er Sect. 3 habitaciones, 3 baños, 140m2 construcción.","",0,0,[],0,0,1,1,64634,San Jeronimo 1er Sect,0,1,1635270426544816,Departamento,General,NA,Habitacional,Parcial,Renta,mxn,propiedad,MX21-LQ4183,m2,m2,,1,2022-04-13 14:10:18,2021-10-26 17:47:06,,0.00,,19,948,85947,85947,0
407212,Departamento para Renta,20000.00,"Departamento Área San Jerónimo TORRE 102 recamaras 2 1/2 baños&nbsp;Sala comedor&nbsp;&nbsp;cocina completa con refrigerador, centro de lavado&nbsp;bodega",,19,39,Anillo Periferico 100,,,2,2,0,90.0,0,0,90.0,2533,1,0,,2021-11-02 03:58:35,2022-04-28 02:48:55,0,0,1,1,1,1,1,Departamento Área San Jerónimo TORRE 102 recamaras 2 1/2 baños&nbsp;Sala comedor&nbsp;&nbsp;cocina completa con,,0,0,,0,0,1,1,64634,Colinas de San Jerónimo,90.0,1,16365909492533159,Departamento,General,NA,Habitacional,Ninguna,Renta,mxn,m2,06-DR-5549,Mts,m2,,1,,2021-11-11 00:35:49,,0.00,,19,948,85955,85955,0
408274,Departamento para Compra,3995000.00,"CLAVE SAI 58-DV-2162Departamentos en Pre-Venta en Edificio Boutique ubicado en zona privilegiada en San Jerónimo,&nbsp;",,19,39,Av. Puerta del Sol 463,-100.3642300,25.6862300,2,2,0,88.59,0,0,88.59,3372,1,0,,2021-11-10 02:43:48,2022-04-28 02:49:00,0,0,1,1,1,1,1,"CLAVE SAI 58-DV-2162Departamentos en Pre-Venta en Edificio Boutique ubicado en zona privilegiada en San Jerónimo,&nbsp;",,0,0,,0,0,1,1,64634,Colinas de San Jerónimo,88.59,0,16498094173372035,Departamento,General,NA,Habitacional,Ninguna,Compra,usd,m2,58-DV-2162,Mts,m2,,1,,2022-04-13 00:23:37,no hay,0.00,,19,948,85955,85955,0
408285,Local para Compra,2450000.00,Local Venta Colinas de San JerónimoID: 58-LV-2738Locales comerciales y área para restaurantes en Edificio tipo Boutique en privilegiada zona de San Jerónimo&nbsp;*Precio más IVA,,19,39,Av. Puerta del Sol 463,-100.3642300,25.6862300,0,0,0,45.0,0,0,45.0,3372,1,0,,2021-11-10 03:00:41,2022-04-28 02:49:00,0,0,1,1,1,1,1,Local Venta Colinas de San JerónimoID: 58-LV-2738Locales comerciales y área para restaurantes en Edificio tipo,,0,0,,0,0,1,1,64634,Colinas de San Jerónimo,45.0,0,16498099923372375,Local,General,NA,Habitacional,Ninguna,Compra,usd,m2,58-LV-2738,Mts,m2,,1,,2022-04-13 00:33:12,no hay,0.00,,19,948,85955,85955,0
408295,Oficina para Compra,1950000.00,"58-OV-2012Edificio Boutique de usos mixtos ofrece espacios exclusivos de oficinas, locales comerciales y departamentos únicos en la zona !!&nbsp;",,19,39,Av. Puerta del Sol 463,-100.3642300,25.6862300,0,0,0,1000.0,0,0,1500.0,3372,1,0,,2021-11-10 03:11:09,2022-04-28 02:49:00,0,0,1,1,1,1,1,"58-OV-2012Edificio Boutique de usos mixtos ofrece espacios exclusivos de oficinas, locales comerciales y departamentos",,0,0,,0,0,1,1,64630,Colinas de San Jerónimo,1500.0,0,16498104763372599,Oficina,General,NA,Habitacional,Ninguna,Compra,usd,m2,58-OV-2012,Mts,m2,,1,,2022-04-13 00:41:16,no hay,0.00,,19,948,85944,85944,0
413341,Casa para Compra,8000000.00,"Aprovecha esta oportunidad, casa recién remodelada en San Jeronimo de gran tamaño, ideal para familia grande, departamentos o oficinas.",,19,39,J. Sibelius # 581,-100.1961810,25.6472470,6,6,0,262.0,0,0,440.0,2785,1,0,,2021-11-17 00:19:27,2022-04-13 12:03:53,0,0,1,1,1,1,1,"Aprovecha esta oportunidad, casa recién remodelada en San Jeronimo de gran tamaño, ideal para familia grande,",,0,0,,0,0,1,1,64637,Colinas de San Jerónimo Sector Panorama 2 Sector,440.0,0,16498088182785195,Casa,General,NA,Habitacional,Ninguna,Compra,usd,m2,70-CV-296,Mts,m2,,1,,2022-04-13 00:13:38,no hay,0.00,,19,948,,,0
