id,title,price,description,location_id,old_state_id,old_municipality_id,street,geo_long,geo_lat,rooms,bathrooms,parking,area,antiquity_year,stories,construction_area,belongs_to,published,archived,deleted_at,created_at,updated_at,show_zip_code,show_address,show_latitude_longitude,show_email,show_phone,show_mobile,show_whatsapp,short_description,custom_floor,pet_friendly,green_tech,zone_type,corner,api_registered,priority,active,postal,zone,space,working_space,ref,type,street_type,temporal_use,floor,remodeling,use,currency,price_unit,external_ref,area_unit,space_unit,construction_date_milestones,ap_order_priority,crm_perk_granted,crm_imported_property,video_url,maintenance_price,tour_url,state_id,municipality_id,postal_code_id,locality_id,has_exclusivity
7771,0,1870000,0,,19,39,6a. Avenida 657,N/A,N/A,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"6a. Avenida # 657 Col. Residencial San Jerónimo, Monterrey, Nuevo León C.P. 64635",,0,0,0,0,0,0,0,64635,Residencial San Jerónimo,148,236.7,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64635,64635,0
11457,0,1682000,0,,19,39,Manuel de Falla 135,25.695175,-100.3750146,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Manuel de Falla # 135 Col. Colinas de San Jerónimo 10o. Sector, Monterrey, Nuevo León C.P. 64637",,0,0,0,0,0,0,0,64637,Colinas de San Jerónimo 10o. Sector,210,293.07,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64637,64637,0
13574,0,851000,0,,19,39,Guisseppe Verdi 120 - 4,N/A,N/A,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Guisseppe Verdi # 120 Int. 4 Col. Colinas de San Jerónimo Nivel 2 Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colinas de San Jerónimo,100,75.1,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
30656,0,2299000,0,,19,39,Camino de los Pavorreales 1006,25.6855898,-100.3764528,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Camino de los Pavorreales # 1006 Col. Colonial de San Jerónimo, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Colonial de San Jerónimo,203.04,328,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
35170,0,3000000,0,,19,39,Maurice Ravel 465,25.683155,-100.3612087,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Maurice Ravel # 465 Col. Colinas de San Jeronimo, 11o. Sector, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630," Colinas de San Jeronimo, 11o. Sector",220.17,336,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
37082,0,1279000,0,,19,39,Enrique Granados,25.6884928,-100.3620768,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Enrique Granados Col. Fraccionamiento Colinas de San Jerónimo Octavo Sector, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Fraccionamiento Colinas de San Jerónimo Octavo Sector,319.84,319.84,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
39819,0,3290000,0,,19,39,Enrique Granados 3321,25.6884928,-100.3620768,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Enrique Granados # 3321 Col. Colinas de San Jeronimo, 8o. Sector, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630," Colinas de San Jeronimo, 8o. Sector",349.79,605.26,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
72557,0,1503000,0,,19,39,Camino de los Pavorreales 826,25.6855898,-100.3764528,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Camino de los Pavorreales # 826 Col. Colonial de San Jerónimo 1er. Sector, Monterrey, Nuevo León C.P. 64103",,0,0,0,0,0,0,0,64103,Colonial de San Jerónimo 1er. Sector,177.68,269.9,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64103,64103,0
68802,0,853000,0,,19,39,Blvd. Puerta del Sol 756 - D,25.6875659,-100.3656368,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Blvd. Puerta del Sol # 756 Int. D Col. Colinas de San Jerónimo Condominio Horizontal Entrada Río Lerma, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colinas de San Jerónimo,80.36,91.68,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
80699,0,3507000,0,,19,39,Bocaccio 150,25.683874,-100.3700408,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Bocaccio # 150 Col. Colinas de San Jeronimo, 2o. Sector, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630," Colinas de San Jeronimo, 2o. Sector",431.47,387.14,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
